Count,Locations,Forest,Lag_temp_center,Pop,Rice,Water
32,Dan Phuong,0.0859375,-4.65335989,8.238382339,0.35546875,0
4,Dan Phuong,0.12109375,-4.093020916,8.829214096,0.51171875,0
43,Dan Phuong,0.11328125,-4.184766293,8.907863617,0.46484375,0
0,Dan Phuong,0.1484375,-3.590390682,11.31149864,0.68359375,0
11,Dan Phuong,0.1015625,-2.820209026,12.16423798,0.57421875,0
0,Dan Phuong,0.09375,-3.091041088,12.2466507,0.59765625,0
0,Dan Phuong,0.046875,-2.61791563,10.55180073,0.48046875,0
49,Dan Phuong,0.03125,-1.780076623,9.707893372,0.34375,0
5,Dan Phuong,0.01171875,-1.388593316,12.91898537,0.19140625,0
17,Dan Phuong,0.2109375,-0.694062829,14.15337276,0.66015625,0
2,Dan Phuong,0,-1.197930932,9.316394806,0.7734375,0
1,Dan Phuong,0.00390625,-1.759374261,15.90416813,0.07421875,0.05078125
1,Dan Phuong,0.00390625,-1.766172051,16.30257416,0.09375,0.05859375
10,Dan Phuong,0.01171875,-1.828008294,18.45509148,0.19140625,0.10546875
3,Dan Phuong,0.01171875,-1.836251855,18.98167992,0.22265625,0.1171875
8,Dan Phuong,0,-1.648477197,17.91693878,0.08203125,0.0625
21,Dan Phuong,0.0078125,-1.668126702,20.99209404,0.15234375,0.1015625
8,Dan Phuong,0.015625,-1.50000155,0,0.203125,0.1328125
6,Dan Phuong,0.015625,-1.50000155,0,0.2265625,0.14453125
1,Dan Phuong,0.01171875,-1.988084435,7.780892849,0.60546875,0.203125
0,Dan Phuong,0.01953125,-1.50000155,28.00073433,0.1953125,0.12109375
126,Dan Phuong,0.05078125,-0.549687982,11.93088818,0.19140625,0
1,Dan Phuong,0.03515625,-1.513398767,37.68653107,0.17578125,0.12890625
86,Dan Phuong,0.20703125,-0.910935998,11.08083344,0.2890625,0
16,Dan Phuong,0.01953125,-0.466992944,11.8374157,0.5390625,0.01953125
12,Dan Phuong,0.03125,-0.051522829,11.6817646,0.53515625,0.02734375
