Mosquitoes,Location_effect,Forest_ratio,Lag_rain,Lag_temp,Bi-month_rain,Bi-month_temp,NDVI,Population,Bi-month_rain_center,Bi-month_rain_power,Rice_ratio,Water_ratio
32,2,0.0859375,85.95494843,29.94664001,38.12761688,28.1444664,0.317254126,8.238382339,1.427616835,2.038089991,0.35546875,0
4,2,0.12109375,85.95494843,30.50697899,38.12761688,28.43562508,0.33840692,8.829214096,1.427616835,2.038089991,0.51171875,0
43,2,0.11328125,85.95494843,30.41523361,38.12761688,28.44251251,0.329911619,8.907863617,1.427616835,2.038089991,0.46484375,0
0,2,0.1484375,85.95494843,31.00960922,38.12761688,28.65313721,0.355178535,11.31149864,1.427616835,2.038089991,0.68359375,0
11,2,0.1015625,85.95494843,31.77979088,38.12761688,28.88656235,0.338546693,12.16423798,1.427616835,2.038089991,0.57421875,0
0,2,0.09375,85.95494843,31.50895882,38.12761688,28.8044796,0.342778504,12.2466507,1.427616835,2.038089991,0.59765625,0
0,2,0.046875,85.95494843,31.98208427,38.12761688,29.29954147,0.294223547,10.55180073,1.427616835,2.038089991,0.48046875,0
49,2,0.03125,85.95494843,32.8199234,38.12761688,29.61898422,0.315688521,9.707893372,1.427616835,2.038089991,0.34375,0
5,2,0.01171875,85.95494843,33.21140671,38.12761688,29.96899986,0.288461506,12.91898537,1.427616835,2.038089991,0.19140625,0
17,2,0.2109375,85.95494843,33.90593719,38.12761688,30.36829758,0.350766987,14.15337276,1.427616835,2.038089991,0.66015625,0
2,2,0,84.88499451,33.40206909,36.43988419,30.3908596,0.187580407,9.316394806,-0.260115802,0.067660235,0.7734375,0
1,2,0.00390625,79.27436829,32.84062576,34.25741959,29.73463631,0.174853325,15.90416813,-2.442580462,5.966198921,0.07421875,0.05078125
1,2,0.00390625,79.27436829,32.83382797,34.25741959,29.69921494,0.176742166,16.30257416,-2.442580462,5.966198921,0.09375,0.05859375
10,2,0.01171875,79.27436829,32.77199173,34.25741959,29.60461235,0.188635722,18.45509148,-2.442580462,5.966198921,0.19140625,0.10546875
3,2,0.01171875,79.27436829,32.76374817,34.25741959,29.60124969,0.191531897,18.98167992,-2.442580462,5.966198921,0.22265625,0.1171875
8,2,0,79.27436829,32.95152283,34.25741959,29.71686554,0.177461326,17.91693878,-2.442580462,5.966198921,0.08203125,0.0625
21,2,0.0078125,79.27436829,32.93187332,34.25741959,29.6639576,0.187009066,20.99209404,-2.442580462,5.966198921,0.15234375,0.1015625
8,2,0.015625,79.27436829,33.09999847,34.25741959,29.7266674,0.195167527,0,-2.442580462,5.966198921,0.203125,0.1328125
6,2,0.015625,79.27436829,33.09999847,34.25741959,29.7266674,0.197557807,0,-2.442580462,5.966198921,0.2265625,0.14453125
1,2,0.01171875,79.27436829,32.61191559,34.25741959,30.2738533,0.15371944,7.780892849,-2.442580462,5.966198921,0.60546875,0.203125
0,2,0.01953125,79.27436829,33.09999847,34.25741959,29.7266674,0.195536837,28.00073433,-2.442580462,5.966198921,0.1953125,0.12109375
126,2,0.05078125,85.95494843,34.05031204,38.12761688,30.66001511,0.310279191,11.93088818,1.427616835,2.038089991,0.19140625,0
1,2,0.03515625,79.27436829,33.08660126,34.25741959,29.74168777,0.202674806,37.68653107,-2.442580462,5.966198921,0.17578125,0.12890625
86,2,0.20703125,84.88499451,33.68906403,36.43988419,30.72484398,0.253637195,11.08083344,-0.260115802,0.067660235,0.2890625,0
16,2,0.01953125,84.88499451,34.13300705,36.43988419,31.50866508,0.219327539,11.8374157,-0.260115802,0.067660235,0.5390625,0.01953125
12,2,0.03125,84.88499451,34.54847717,36.43988419,31.46281815,0.212342784,11.6817646,-0.260115802,0.067660235,0.53515625,0.02734375
396,2,0.015625,84.88499451,34.15999985,36.43988419,31.78666687,0.211786151,11.94094181,-0.260115802,0.067660235,0.48828125,0.0078125
10,2,0.1796875,85.95494843,33.75547028,38.12761688,30.79732513,0.286984742,12.78515816,1.427616835,2.038089991,0.51171875,0.0234375
3,2,0.015625,84.88499451,34.81156158,36.43988419,31.56557274,0.194714323,12.0053606,-0.260115802,0.067660235,0.265625,0.03515625
5,2,0.01171875,79.27436829,34.59000015,34.25741959,30.68400002,0.147290975,15.86039734,-2.442580462,5.966198921,0.16796875,0
14,2,0.03125,84.88499451,35.55644608,36.43988419,31.41837883,0.191194072,11.18886566,-0.260115802,0.067660235,0.10546875,0
9,2,0.0703125,84.88499451,35.52878952,36.43988419,31.41708946,0.199441075,11.4759655,-0.260115802,0.067660235,0.15234375,0
54,2,0.03125,84.88499451,35.38917923,36.43988419,31.52680397,0.185258001,11.4710865,-0.260115802,0.067660235,0.0859375,0.01953125
0,2,0.03515625,84.88499451,35.56472778,36.43988419,31.4709568,0.192458823,11.25425529,-0.260115802,0.067660235,0.09765625,0
4,2,0.01171875,84.88499451,35.56394577,36.43988419,31.57306671,0.18476218,11.19279289,-0.260115802,0.067660235,0.0703125,0
0,2,0.0703125,82.0796814,35.02843857,35.34865189,31.4533596,0.192445755,13.86082363,-1.351348162,1.826141715,0.40625,0
0,2,0.078125,82.78100586,35.35093689,35.62145996,31.78121948,0.192625478,13.94288063,-1.078540087,1.163248658,0.1796875,0
3,2,0.09765625,85.22189331,34.50648499,36.99196625,31.89574242,0.238348439,11.85606956,0.291966259,0.085244291,0.55078125,0.12890625
1,2,0.0625,80.18309021,34.66675949,35.75036621,32.2096405,0.136829808,13.39705467,-0.949633777,0.901804328,0.78515625,0.01953125
3,2,0.078125,85.48392487,34.68937683,37.42136765,32.70811081,0.168910816,13.92362022,0.721367657,0.520371258,0.703125,0.140625
0,1,0.01953125,80.18309021,34.81703186,35.75036621,31.04103088,0.137864858,21.15789413,-0.949633777,0.901804328,0.15625,0.00390625
69,2,0.0859375,85.48392487,34.93999863,37.42136765,32.29999924,0.14777118,13.52192688,0.721367657,0.520371258,0.7734375,0
175,2,0.0078125,85.48392487,33.93125153,37.42136765,30.98374939,0.279419899,12.82025528,0.721367657,0.520371258,0.31640625,0
154,2,0.01171875,82.50221252,34.88874817,36.48143005,32.56479263,0.134763867,14.20111847,-0.218569949,0.047772821,0.0703125,0
13,2,0.0078125,82.17090607,34.88406372,36.37699127,32.58901215,0.134451061,14.19744301,-0.323008716,0.104334638,0.05078125,0
